"State Code","State Name (In English)","District Code","District Name (In English)","District Name (In Local)","Sub-District Code","Sub-District Name (In English)","Sub-District Name (In Local)","Village Code","Village Name (In English)","Village Name (In Local)"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270202","Sangamner","संगमनेर","9927020205","Talegaon","तळेगाव"
"27","Maharashtra","992702","Ahmednagar","अहमदनगर","99270202","Sangamner","संगमनेर","9927020206","Akolner","अकोलनेर"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290101","Bailhongal","ಬೈಲಹೊಂಗಲ","9929010101","Sampgaon","ಸಂಪಗಾವ"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290101","Bailhongal","ಬೈಲಹೊಂಗಲ","9929010102","Neginhal","ನೇಗಿನಹಾಳ"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290101","Bailhongal","ಬೈಲಹೊಂಗಲ","9929010103","Budarkatti","ಬುಡರಕಟ್ಟಿ"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290101","Bailhongal","ಬೈಲಹೊಂಗಲ","9929010104","Amatur","ಅಮಟೂರು"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290101","Bailhongal","ಬೈಲಹೊಂಗಲ","9929010105","Hosur","ಹೊಸೂರು"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290101","Bailhongal","ಬೈಲಹೊಂಗಲ","9929010106","Devalapur","ದೇವಲಾಪುರ"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290102","Gokak","ಗೋಕಾಕ","9929010201","Konnur","ಕೊಣ್ಣೂರು"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290102","Gokak","ಗೋಕಾಕ","9929010202","Ghataprabha","ಘಟಪ್ರಭಾ"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290102","Gokak","ಗೋಕಾಕ","9929010203","Mudalgi","ಮುದಲಗಿ"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290102","Gokak","ಗೋಕಾಕ","9929010204","Yadwad","ಯಡವಾಡ"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290102","Gokak","ಗೋಕಾಕ","9929010205","Kaladgi","ಕಲಾದಗಿ"
"29","Karnataka","992901","Belagavi","ಬೆಳಗಾವಿ","99290102","Gokak","ಗೋಕಾಕ","9929010206","Arabhavi","ಅರಭಾವಿ"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290201","Nanjangud","ನಂಜನಗೂಡು","9929020101","Hullahalli","ಹುಲ್ಲಹಳ್ಳಿ"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290201","Nanjangud","ನಂಜನಗೂಡು","9929020102","Biligere","ಬಿಳಿಗೆರೆ"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290201","Nanjangud","ನಂಜನಗೂಡು","9929020103","Thandavapura","ತಾಂಡವಪುರ"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290201","Nanjangud","ನಂಜನಗೂಡು","9929020104","Kalale","ಕಳಲೆ"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290201","Nanjangud","ನಂಜನಗೂಡು","9929020105","Devanur","ದೇವನೂರು"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290201","Nanjangud","ನಂಜನಗೂಡು","9929020106","Hedathale","ಹೆದತಲೆ"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290202","T. Narasipura","ತಿ. ನರಸೀಪುರ","9929020201","Talakadu","ತಲಕಾಡು"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290202","T. Narasipura","ತಿ. ನರಸೀಪುರ","9929020202","Bannur","ಬನ್ನೂರು"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290202","T. Narasipura","ತಿ. ನರಸೀಪುರ","9929020203","Sosale","ಸೋಸಲೆ"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290202","T. Narasipura","ತಿ. ನರಸೀಪುರ","9929020204","Mugur","ಮೂಗೂರು"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290202","T. Narasipura","ತಿ. ನರಸೀಪುರ","9929020205","Hemmige","ಹೆಮ್ಮಿಗೆ"
"29","Karnataka","992902","Mysuru","ಮೈಸೂರು","99290202","T. Narasipura","ತಿ. ನರಸೀಪುರ","9929020206","Halegowdanahalli","ಹಳೇಗೌಡನಹಳ್ಳಿ"
